subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,7/6/2018,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,.9799262,0,48,40,46.75253,39.81252,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,78153,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,.6447814,0,45,42,43.75253,41.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,78151,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.6067627,0,42.4,44,44.39123,41.50348,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79643,11/16/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,2/5/2017,2/6/2017,Emerson College,B+,617,rv,1.095338,0,48.1,46.3,48.24675,45.27032,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,78251,5/31/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,.6270173,0,49,41,47.75253,40.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,78162,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,2/15/2017,2/20/2017,McLaughlin & Associates,C-,1000,lv,.5684971,0,43.5,43.8,45.49123,41.30347,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50467,79642,11/16/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,2/21/2017,2/22/2017,Public Policy Polling,B,941,rv,.8858515,0,46,43,44.75253,42.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_22417.pdf,49324,78150,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,3/10/2017,3/12/2017,Public Policy Polling,B,808,rv,.8428327,0,46,41,44.75253,40.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_31517.pdf,49488,78145,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,3/16/2017,3/20/2017,McLaughlin & Associates,C-,1000,lv,.6635009,0,42.9,44.6,44.89123,42.10347,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50466,79641,11/16/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,3/22/2017,3/27/2017,Marist College,A,906,rv,1.638791,0,47,38,47.15796,38.36023,"","",https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,49556,78147,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,3/27/2017,3/28/2017,Public Policy Polling,B,677,rv,.795418,0,48,43,46.75253,42.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,49550,78152,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,3/30/2017,4/1/2017,Morning Consult,B-,1995,rv,.6746631,0,41,39,45.30625,40.4075,"","",https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,49577,78242,5/30/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/6/2017,4/9/2017,Morning Consult,B-,1988,rv,.5305001,0,43,40,47.30625,41.4075,"","",http://www.politico.com/f/?id=0000015b-5fbb-da80-afdf-dfff4d650002,49603,78241,5/30/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/10/2017,4/11/2017,YouGov,B,1324,rv,.7891468,0,40,37,45.06893,40.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qs45iqlax3/econTabReport.pdf,49604,78156,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/11/2017,4/12/2017,Marist College,A,869,rv,1.577017,0,45,38,45.15796,38.36023,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170411_Circus/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_April%202017.pdf#page=3,49610,78154,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/13/2017,4/15/2017,Morning Consult,B-,1992,rv,.4792971,0,40,40,44.30625,41.4075,"","",https://morningconsult.com/2017/04/20/grading-trumps-first-100-days-office/,49633,78143,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/15/2017,4/18/2017,YouGov,B,1291,rv,.6680215,0,38,32,43.06893,35.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3y1jngdqn7/econTabReport.pdf,49629,78200,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/17/2017,4/18/2017,Public Policy Polling,B,648,rv,.840652,0,47,41,45.75253,40.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf,49637,78149,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/17/2017,4/20/2017,NBC News/Wall Street Journal,A-,759,rv,1.309526,0,47,43,45.87023,41.83254,"","",https://www.wsj.com/articles/americans-dissatisfaction-with-speaker-paul-ryan-congress-overall-is-growing-poll-finds-1493067612,49647,78201,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/17/2017,4/20/2017,Gravis Marketing,C+,1665,rv,1.306089,0,47,42,46.97591,41.24836,"","",http://orlando-politics.com/2017/04/25/gravis-marketing-poll-donald-trump-approval-rate-sits-at-42-as-he-approaches-100-day-mark/,49768,78168,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/20/2017,4/24/2017,McLaughlin & Associates,C-,1000,lv,.7245076,0,43,43,44.99123,40.50348,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50465,79640,11/16/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/20/2017,4/24/2017,Morning Consult,B-,2032,rv,.4506779,0,40,44,44.30625,45.4075,"","",https://morningconsult.com/2017/04/26/trumps-border-wall-lowest-priority-funding-talks-voters-say/,49664,78165,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/23/2017,4/25/2017,Fox News,A,1009,rv,1.815361,0,47,42,46.89169,42.10719,"","",http://www.foxnews.com/politics/slideshow/2017/04/26/fox-news-poll-president-trumps-first-100-days.html,49666,78157,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/23/2017,4/25/2017,YouGov,B,1289,rv,.6068352,0,39,34,44.06893,37.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,49656,78203,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/22/2017,4/25/2017,CNN/Opinion Research Corp.,B+,922,rv,1.464095,0,49,41,47.95428,40.74126,"","","http://i2.cdn.turner.com/cnn/2017/images/04/28/rel5c.-.congress,.health.care.pdf",49668,78202,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/27/2017,4/30/2017,Morning Consult,B-,1998,rv,.4112501,0,41,41,45.30625,42.4075,"","",https://morningconsult.com/2017/05/03/people-split-states-treat-sickest-americans/,49689,78146,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,4/29/2017,5/2/2017,YouGov,B,1255,rv,.5678615,0,38,35,43.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/blvmt31w4l/econTabReport.pdf,49688,78204,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/4/2017,5/6/2017,Morning Consult,B-,1996,rv,.3910041,0,42,36,46.30625,37.4075,"","",https://morningconsult.com/2017/05/10/obamacare-support-gop-alternative-poll-finds/,49712,78169,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/4/2017,5/9/2017,Quinnipiac University,A-,1078,rv,1.524198,0,54,38,51.85197,37.74236,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2456,49715,78207,5/25/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/6/2017,5/9/2017,YouGov,B,1278,rv,.565693,0,40,35,45.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hdfqb3wks2/econTabReport.pdf,49713,78161,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/9/2017,5/11/2017,Morning Consult,B-,1731,rv,.3324319,0,42,37,46.30625,38.4075,"","",https://morningconsult.com/2017/05/11/partisanship-strong-factor-voters-stance-comey-firing/,49718,78167,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/12/2017,5/14/2017,Public Policy Polling,B,692,rv,.9246194,0,49,38,47.75253,37.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf,49731,78166,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/12/2017,5/14/2017,Morning Consult,B-,2001,rv,.3873688,0,42,35,46.30625,36.4075,"","",https://morningconsult.com/2017/05/17/trumps-approval-slide-continues-morale-among-base-weakens/,49737,78144,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/13/2017,5/16/2017,YouGov,B,1293,rv,.5630262,0,40,33,45.06893,36.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,49739,78163,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/18/2017,5/22/2017,Morning Consult,B-,1938,rv,.3905616,0,41,37,45.30625,38.4075,"","",https://morningconsult.com/2017/05/24/trump-arrests-slide-despite-concerns-russia-probe-comey-firing/,49765,78148,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/19/2017,5/23/2017,Ipsos,B+,405,rv,.0449955,0,43,36.1,47.63012,40.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49793,79323,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/20/2017,5/23/2017,YouGov,B,1266,rv,.5482366,0,38,36,43.06893,39.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nkn28k0m0p/econTabReport.pdf,49764,78159,5/24/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/20/2017,5/24/2017,Ipsos,B+,727,rv,.077171,0,43.2,36,47.83012,40.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49792,79322,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/21/2017,5/25/2017,Ipsos,B+,1055,rv,.1072673,0,42.4,35.6,47.03012,39.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49791,79321,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/22/2017,5/26/2017,Ipsos,B+,1554,rv,.1517744,0,41,36.3,45.63012,40.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49799,79320,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/23/2017,5/27/2017,Ipsos,B+,1858,rv,.1749145,0,41.6,35.5,46.23012,39.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49798,79319,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/24/2017,5/28/2017,Ipsos,B+,1785,rv,.1625598,0,39.9,36.2,44.53012,40.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49797,79318,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/25/2017,5/29/2017,Ipsos,B+,1769,rv,.1563195,0,39.9,35.7,44.53012,39.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49796,79317,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/26/2017,5/30/2017,Ipsos,B+,1792,rv,.1540664,0,39.8,35.5,44.43012,39.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49813,79316,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/25/2017,5/30/2017,Morning Consult,B-,1991,rv,.4118375,0,43,39,47.30625,40.4075,"","",http://www.politico.com/f/?id=0000015c-5adf-d8e5-adff-5fffa65d0001,49803,78249,5/31/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/27/2017,5/31/2017,Ipsos,B+,1609,rv,.1349282,0,40.4,34.7,45.03012,38.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49812,79315,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/27/2017,5/30/2017,YouGov,B,1266,rv,.5461085,0,39,33,44.06893,36.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sm62pd19o2/econTabReport.pdf,49801,78248,5/31/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/28/2017,6/1/2017,Ipsos,B+,1587,rv,.1300718,0,40.2,34.5,44.83012,38.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49811,79314,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/28/2017,5/31/2017,McLaughlin & Associates,C-,1000,lv,.7874195,0,43.4,43.6,45.39123,41.10347,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50464,79639,11/16/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/29/2017,6/2/2017,Ipsos,B+,1643,rv,.1318628,0,41.2,33.7,45.83012,37.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49821,79313,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/30/2017,6/3/2017,Ipsos,B+,1818,rv,.1431467,0,41.4,34.7,46.03012,38.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49820,79312,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/31/2017,6/4/2017,Ipsos,B+,2040,rv,.1579165,0,42.2,33.9,46.83012,38.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49819,79311,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/1/2017,6/2/2017,Morning Consult,B-,1999,rv,.4215051,0,42,39,46.30625,40.4075,"","",http://www.politico.com/story/2017/06/07/donald-trump-twitter-poll-239222,49824,78286,6/7/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/31/2017,6/5/2017,Greenberg Quinlan Rosner,B-,1000,rv,1.219891,0,50,40,48.87242,38.79692,"","",http://www.democracycorps.com/attachments/article/1079/Dcor_WV_RAE%20Panel_Wave%203_Deck_1.24.18_for%20release.pdf,50841,80333,1/24/2018,11:22:10  6 Jul 2018
