date,state,istrict,median_inc,%_bach_degree,clinton_over_BO,18_over_lean
3/27/18,Alabama,HD-21,65548.00,0.42,0.06,0.24
3/13/18,Pennsylvania,18th CD,62283.00,0.35,-0.03,0.22
3/13/18,Tennessee,SD-14,48252.00,0.22,-0.08,0.01
3/6/18,Oklahoma,HD-51,57202.00,0.18,-0.08,0.21
2/27/18,Kentucky,HD-89,37858.00,0.16,-0.05,0.29
2/27/18,New Hampshire,Belknap HD-03,48893.00,0.25,-0.13,0.19
2/27/18,Connecticut,HD-120,83869.00,0.37,-0.04,0.01
2/20/18,Kentucky,HD-49,57177.00,0.14,-0.16,0.84
2/17/18,Louisiana,HD-86,45179.00,0.22,-0.02,-0.24
2/13/18,Oklahoma,SD-27,53397.00,0.21,-0.02,0.39
2/13/18,Florida,HD-72,52566.00,0.35,-0.01,0.14
2/13/18,Georgia,HD-175,45802.00,0.25,0.09,-0.23
2/12/18,Minnesota,SD-54,71210.00,0.29,-0.09,0.05
2/12/18,Minnesota,HD-23B,58650.00,0.21,-0.24,0.04
2/6/18,Missouri,HD-144,35910.00,0.11,-0.33,0.48
2/6/18,Missouri,HD-97,55148.00,0.24,-0.15,0.30
2/6/18,Missouri,HD-129,38031.00,0.13,-0.21,0.23
2/6/18,Missouri,HD-39,48493.00,0.15,-0.22,0.15
1/23/18,Pennsylvania,HD-35,36348.00,0.18,-0.10,0.29
1/16/18,Wisconsin,SD-10,60467.00,0.29,-0.11,0.27
1/16/18,Wisconsin,AD-58,63758.00,0.29,-0.02,0.27
1/16/18,Iowa,HD-06,56073.00,0.27,-0.20,0.16
1/16/18,South Carolina,HD-99,83516.00,0.48,0.11,0.15
1/9/18,Georgia,HD-111,63465.00,0.29,0.12,-0.11
1/9/18,Georgia,SD-17,60801.00,0.25,0.06,-0.11
12/19/17,Tennessee,SD-17,51967.00,0.22,-0.09,0.46
12/19/17,Florida,HD-58,46518.00,0.22,-0.05,-0.09
12/12/17,Alabama,U.S. Senate,44758.00,0.24,-0.06,0.31
12/12/17,Iowa,SD-03,57432.00,0.24,-0.19,0.29
12/5/17,Pennsylvania,HD-133,53626.00,0.24,-0.09,0.28
12/5/17,Massachusetts,Worcester & Middlesex SD,63889.00,0.30,0.03,-0.10
11/18/17,Louisiana,Treasurer,45652.00,0.23,-0.02,0.10
11/14/17,Oklahoma,SD-37,50874.00,0.24,-0.02,0.42
11/14/17,Oklahoma,SD-45,58725.00,0.23,0.01,0.29
11/14/17,Oklahoma,HD-76,68493.00,0.33,0.07,0.02
11/7/17,New Jersey,SD-01,54836.00,0.22,-0.15,0.39
11/7/17,Georgia,HD-119,46962.00,0.51,0.12,0.26
11/7/17,Missouri,HD-151,38655.00,0.13,-0.20,0.23
11/7/17,South Carolina,HD-113,30791.00,0.19,-0.08,0.23
11/7/17,New Jersey,SD-33,67972.00,0.47,0.03,0.22
11/7/17,New Jersey,SD-32,59597.00,0.29,-0.08,0.20
11/7/17,New Jersey,SD-03,67035.00,0.24,-0.15,0.20
11/7/17,Michigan,HD-109,44086.00,0.26,-0.12,0.18
11/7/17,New Jersey,SD-27,117145.00,0.62,0.14,0.17
11/7/17,New Jersey,SD-36,60408.00,0.32,-0.11,0.15
11/7/17,Missouri,SD-08,70348.00,0.35,-0.01,0.15
11/7/17,Massachusetts,1st Berkshire HD,50118.00,0.30,-0.18,0.14
11/7/17,Georgia,HD-117,47073.00,0.40,0.07,0.14
11/7/17,New Hampshire,Sullivan HD-01,83862.00,0.49,0.02,0.13
11/7/17,New Jersey,SD-18,90957.00,0.51,-0.02,0.13
11/7/17,New Jersey,SD-31,57060.00,0.39,-0.07,0.12
11/7/17,New Jersey,SD-37,79222.00,0.50,0.05,0.12
11/7/17,New Jersey,SD-20,52017.00,0.19,-0.04,0.12
11/7/17,New Jersey,SD-30,70988.00,0.39,-0.05,0.12
11/7/17,New Hampshire,Hillsborough HD-15,67019.00,0.31,-0.07,0.12
11/7/17,New Jersey,SD-34,55929.00,0.32,-0.03,0.10
11/7/17,Virginia,HD-20,49898.00,0.28,-0.05,0.10
11/7/17,New Jersey,SD-06,77040.00,0.42,0.03,0.10
11/7/17,Virginia,HD-01,36116.00,0.14,-0.16,0.09
11/7/17,Virginia,HD-02,96197.00,0.38,0.01,0.09
11/7/17,Virginia,HD-12,41689.00,0.43,-0.01,0.08
11/7/17,New Jersey,SD-29,37292.00,0.16,-0.07,0.08
11/7/17,Virginia,HD-34,177551.00,0.75,0.21,0.08
11/7/17,Virginia,HD-86,119947.00,0.57,0.14,0.08
11/7/17,Virginia,HD-25,63358.00,0.38,0.02,0.08
11/7/17,New Jersey,SD-38,89950.00,0.43,-0.01,0.07
11/7/17,Virginia,HD-03,36200.00,0.13,-0.16,0.07
11/7/17,New Jersey,SD-07,79876.00,0.37,-0.02,0.07
11/7/17,New Jersey,SD-24,86225.00,0.35,-0.08,0.07
11/7/17,Georgia,HD-26,76259.00,0.39,0.10,0.07
11/7/17,Virginia,HD-33,103947.00,0.45,0.01,0.06
11/7/17,Virginia,Governor,66149.00,0.37,0.01,0.06
11/7/17,Virginia,HD-38,86205.00,0.43,0.12,0.06
11/7/17,Virginia,HD-72,76105.00,0.51,0.14,0.06
