date_approved,applicant,company,address,zip,naics_code,naics_broader,num_employees,num_emp_existing_in_chi,tif_district,ward,po_#,start_date,end_date,contract_award,amount_spent,training_activities,emp_contribution,# to be trained,Trained to date,num_chicago_residents,Hiring Goal,Hired to date
,IHHP,Easter Seals,2214 S. Federal St,60616,Educational Services,education,0,,24th Michigan,3,52983-2,11/1/16,12/31/17,"$3,693.00","$3,693.00","Advanced Qi & Psychosomatic Module, Applied Ergonomics: Eliminating At-Risk Behavior Module, TASC Environmental Awareness Module, Behavior Modification and Self Care Module, Advanced TASC Management Module, Intuitive Gong Therapy: Train-the-Teacher Module",0,0,0,,0,0
,"Advertising Flag Co, Inc.","Advertising Flag Co, Inc.",3801 S. Ashland Ave,60609,Manufacturing,manufacture,15,7,35th/Halsted,11,33017,7/5/15,7/6/16,"$48,304.60","$42,004.00","Marketing Automation Platform, Strategic Planning , Family Business Planning , Lean 5S+1/Workplace Organization","$22,402.80",15,13,,0,0
,TLS Global Consulting Group,"T and T Cleaning, LLC",710 E. 47th St.,60653,commercial and residential cleaning,cleaning,7,,43rd/Cottage Grove,3,55889-3,4/1/17,2/29/2018,"$29,710.40","$28,480.40",PMP Certification,0,3,3,,0,0
,"Chicago Ornamental Iron, Inc.","Chicago Ornamental Iron, Inc.",1237 W. 47th St.,60609,Manufacturing,manufacture,60,36,47th/Haslted,3,50010,11/2/16,10/1/18,"$115,350.75","$24,395.39",Steel Bridges Fabrication & Steel Structures,"$34,605.22",36,11,6,0,0
1/22/18,Evanston Technology Partners,Evanston Technology Partners,56 E. 47th Street,60653,Professional/ Scientific/ Tech Services,professional_tech_scientific,11,11,47th/King,3,TBD,TBD,TBD,"$499,050.00",,Network Technician & Storage Adminstrator,0,0,0,,50,0
,ENR General Machining,ENR General Machining,3725 W. 49th St,60632,Manufacturing,manufacture,27,14,51st Archer,14,35353,10/12/15,10/11/16,"$17,424.00","$13,939.05","ISO 9001: 2008 Training, Implementation and Certification","$57,992.00",23,23,,0,0
,Frank Cooper Insurance Agency Inc.,Frank Cooper Insurance Agency Inc.,1525 E. 53rd Street Ste 415,60615,Finance and Insurance,finance_or_insurance,5,,53rd St.,5,33424,9/21/15,9/21/16,"$45,360.00","45,360.00","Mentoring/Coaching Workshop, Virtual and OJT training",0,3,3,,3,3
,Platt Luggage,Platt Luggage,4051 W. 51st Street,60632,Manufacturing,manufacture,40,20,63rd Pulaski,23,33874,10/12/15,10/11/16,"$28,060.00","$24,402.26","Strategic Planning, Training Within Industry - Job Instructions & Training Within Industry - Job Methods","$39,680.00",5,5,,0,0
,TLS Global Consulting Group,ABJ Community Services,1818 E. 71st Street,60649,non-profit services,non_profit,13,,71st/Stony Island,5,55889-1,4/1/17,2/29/2018,"$46,913.36","$45,698.36",PMP Certification,0,8,8,,0,0
,TLS Global Consulting Group,"TradeMark & Assoc., LLC",8242 S. Kedzie,60652,"property management, realtor",property,3,,79th/SW Highway,18,55889-2,4/1/17,2/29/2018,"$16,789.40","$13,164.40",Six Sigma (green belt),0,2,2,,0,0
3/17/17,50/50 Project- North Branch Works,Heritage Pharmacy,2545 W. Diversey Ave,60647,Healthcare,healthcare,10,,Addison South,32,45228-1,6/15/16,6/14/18,"$11,500.00","$11,500.00","Compounding, Aseptic & Accreditation",0,6,6,,0,0
4/17/17,50/50 Project- North Branch Works,Metropolis Coffee,3057 N. Rockwell Ave,60618,Coffee House and Rosteria,food_services,51,,Addison South,33,45228-1,6/15/16,6/14/18,"$3,056.13","$3,056.13",Coffee Expo & Q Grader Excel,0,13,13,,0,0
5/5/17,50/50 Project- North Branch Works,Metropolitan Brewing,3057 N. Rockwell ,60614,Brewery and Taproom,food_services,6,,Addison South,33,45228-1,6/15/16,6/14/18,"$12,239.54","$12,239.54",OJT,0,0,0,,3,3
7/31/17,TIFWorks 50/50 North Branch Works,Maplewood Brewing & Distillery,2717 N. Maplewood Ave,60647,Food and Beverage,manufacture,3,3,Addison South,32,45228-1,6/15/16,6/14/18,"$11,068.75","$11,068.75","OJT for 2 new hires which are Sales and Distribution Manager and Taproom Manager & 1 incumbent classroom training which, he will transition to Lead Brewer of Special Projects.",0,1,1,,2,2
1/15/17,Ben's Bar Be Cue,Ben's Bar Be Cue,5931 W. North Ave,60639,Food Services,food_services,16,16,Austin Commercial,29,59798-1,4/1/17,4/30/18,"$247,209.00","$247,209.00",Small Business Management training for restaurant,0,16,16,,16,16
,OAI Inc.,"Family Care Associates, LTD",5308 W. Belmont Ave 1st Fl.,60639,Professional Scientific Tech Service,professional_tech_scientific,8,,Belmont/Central,38,32942-2,7/13/15,7/12/16,"$21,865.28","$21,865.28",Electronic Medical Records,0,8,8,,0,0
,IHHP,North Center,5104 W. Belmont Ave,60641,Professional/ Scientific/Tech Services,professional_tech_scientific,12,,Belmont/Central,30,52983-1,11/1/16,12/31/17,"$11,034.25","$11,034.25","Kinetic Warm Up Module, TASC Management Module, TASC Risk Management Module, TASC Environmental Awareness Module, Intuitive Gong Therapy: Train-the-Teacher Module",0,12,12,,0,0
2/14/17,St. Augustine College,Element Bar Inc.,5001 W. Belmont Ave,60641,Marketing,marketing,20,19,Belmont/Cicero,31,64306-2,4/1/17,3/30/18,"$73,147.00","$71,681.47",Safe Quality Food (SQF) and Safety,0,17,17,,0,0
1/18/17,F. Cooper Insurance Agency,F. Cooper Insurance Agency,1055 W. Bryn Mawr Ave,60660,Financial Insurance,finance_or_insurance,5,,Bryn Mawr/ Broadway,48,70237-1,1/31/18,12/31/18,"$114,213.75","$11,040.00","Obtaining industry licenses, professional skills and communication",0,5,2,,5,2
,Gracie's Café,Gracie's Café,1517 W. Warren Blvd.,60607,Accommodation and Food Services,food_services,8,8,Central West,27,33259,7/1/15,6/30/16,"$150,000.00","$145,559.86","Work Expectations, Customer Service, Barista Skills, Environmental Preservation & Sanitation","$167,000.00",0,0,,6,8
6/1/17,A Better Tomorrow (ABT) Youth Employment Facilty,A Better Tomorrow (ABT) Youth Employment Facilty,3441-3443 W. Chicago Ave Floor 1,60651,Other Services,non_profit,5,5,Chicago-Central Park,27,60352-1,7/1/17,6/30/18,"$246,100.00","$120,105.00",License Hair braiding Certification,0,0,0,,25,12
